Name: ВРЕМЯ Number: 66 Type: 1 Dimension: ДTBP     Count: 9147
time: 04:39:08:288	Value: 6.1214032464E7
time: 04:39:08:288	Value: 6.121403248E7
time: 04:39:08:288	Value: 6.1214032497E7
time: 04:39:08:288	Value: 6.1214032513E7
time: 04:39:08:544	Value: 6.1214032529E7
time: 04:39:08:544	Value: 6.1214032545E7
time: 04:39:08:544	Value: 6.1214032561E7
time: 04:39:08:544	Value: 6.1214032578E7
time: 04:39:08:544	Value: 6.1214032594E7
time: 04:39:08:544	Value: 6.121403261E7
time: 04:39:08:544	Value: 6.1214032626E7
time: 04:39:08:544	Value: 6.1214032642E7
time: 04:39:08:544	Value: 6.1214032658E7
time: 04:39:08:544	Value: 6.1214032675E7
time: 04:39:08:544	Value: 6.1214032691E7
